region,technology,year,total_capacity_GW
Philippines,Wind Onshore,2025,1.83
Philippines,Wind Onshore,2030,6.548
Philippines,Wind Onshore,2040,9.985
Philippines,Wind Onshore,2050,14.935
Philippines,Wind Onshore,2060,14.935
Singapore,CAES,2040,0.15
Singapore,CAES,2050,0.159
Singapore,CAES,2060,0.159
Singapore,Diesel,2025,1000000000000.0
Singapore,Diesel,2030,1000000000000.0
Singapore,Diesel,2040,1000000000000.0
Singapore,Diesel,2050,1000000000000.0
Singapore,Diesel,2060,1000000000000.0
Singapore,Fuel Oil,2025,0.014
Singapore,Fuel Oil,2030,0.014
Singapore,Fuel Oil,2040,0.014
Singapore,Fuel Oil,2050,0.014
Singapore,Fuel Oil,2060,0.014
Singapore,Gas Combined Cycle,2025,10.128
Singapore,Gas Combined Cycle,2030,14.36
Singapore,Gas Combined Cycle,2040,18.946
Singapore,Gas Combined Cycle,2050,23.136
Singapore,Gas Combined Cycle,2060,27.012
Singapore,Gas Turbine,2025,0.26
Singapore,Gas Turbine,2030,0.26
Singapore,Gas Turbine,2040,0.26
Singapore,Gas Turbine,2050,0.26
Singapore,Gas Turbine,2060,0.26
Singapore,Lithium Ion Batteries,2025,0.2
Singapore,Lithium Ion Batteries,2030,0.2
Singapore,Lithium Ion Batteries,2040,0.568
Singapore,Lithium Ion Batteries,2050,0.798
Singapore,Lithium Ion Batteries,2060,1.096
Singapore,Solar PV,2025,1.211
Singapore,Solar PV,2030,2.211
Singapore,Solar PV,2040,2.211
Singapore,Solar PV,2050,2.211
Singapore,Solar PV,2060,2.211
Singapore,Waste,2025,0.345
Singapore,Waste,2030,0.346
Singapore,Waste,2040,0.346
Singapore,Waste,2050,0.346
Singapore,Waste,2060,0.346
Thailand,Biogas,2040,1.565
Thailand,Biogas,2050,1.565
Thailand,Biogas,2060,1.565
Thailand,Biomass Gasification,2025,4.205
Thailand,Biomass Gasification,2030,4.013
Thailand,Biomass Gasification,2040,0.915
Thailand,Biomass Gasification,2040,9.803
Thailand,Biomass Gasification,2050,4.288
Thailand,Biomass Gasification,2050,9.803
Thailand,Biomass Gasification,2060,7.468
Thailand,Biomass Gasification,2060,9.803
Thailand,Biomass Other,2040,15.401
Thailand,Biomass Other,2050,72.464
Thailand,Biomass Other,2060,116.671
Thailand,CAES,2040,6.98
Thailand,CAES,2050,10.055
Thailand,CAES,2060,10.055
Thailand,Coal Subcritical,2025,6.14
Thailand,Coal Subcritical,2030,6.14
Thailand,Coal Subcritical,2040,6.14
Thailand,Coal Subcritical,2050,6.14
Thailand,Coal Subcritical,2060,6.14
Thailand,Coal Supercritical,2030,0.06
Thailand,Coal Supercritical,2040,0.06
Thailand,Coal Supercritical,2050,0.06
Thailand,Coal Supercritical,2060,0.06
Thailand,Diesel,2025,1000000000000.0
Thailand,Diesel,2025,0.065
Thailand,Diesel,2030,1000000000000.0
Thailand,Diesel,2030,0.065
Thailand,Diesel,2040,1000000000000.0
Thailand,Diesel,2050,1000000000000.0
Thailand,Diesel,2060,1000000000000.0
Thailand,Gas Combined Cycle,2025,38.06
Thailand,Gas Combined Cycle,2030,60.867
Thailand,Gas Combined Cycle,2040,102.237
Thailand,Gas Combined Cycle,2050,143.606
Thailand,Gas Combined Cycle,2060,164.29
Thailand,Gas Combined Cycle with CCS,2050,4.995
Thailand,Gas Combined Cycle with CCS,2060,4.995
Thailand,H2 Fuel Cell,2040,0.032
Thailand,H2 Fuel Cell,2050,0.044
Thailand,H2 Fuel Cell,2060,0.059
Thailand,Large Hydro,2025,3.136
Thailand,Large Hydro,2030,4.983
Thailand,Large Hydro,2040,7.793
Thailand,Large Hydro,2050,7.793
Thailand,Large Hydro,2060,7.793
Thailand,Lithium Ion Batteries,2040,7.049
Thailand,Lithium Ion Batteries,2050,12.581
Thailand,Lithium Ion Batteries,2060,15.291
Thailand,Small Hydro,2040,0.408
Thailand,Small Hydro,2050,0.508
Thailand,Small Hydro,2060,0.608
Thailand,Solar Floating,2040,2.725
Thailand,Solar Floating,2050,2.725
Thailand,Solar Floating,2060,2.725
Thailand,Solar PV,2025,3.38
Thailand,Solar PV,2030,8.708
Thailand,Solar PV,2040,19.847
Thailand,Solar PV,2050,19.847
Thailand,Solar PV,2060,19.847
Thailand,Tidal,2050,0.1
Thailand,Tidal,2060,0.2
Thailand,Waste,2040,0.975
Thailand,Waste,2050,0.975
Thailand,Waste,2060,0.975
Thailand,Wave,2050,0.1
Thailand,Wave,2060,0.2
Thailand,Wind Onshore,2025,1.54
Thailand,Wind Onshore,2030,1.54
Thailand,Wind Onshore,2040,4.529
Thailand,Wind Onshore,2050,4.529
Thailand,Wind Onshore,2060,4.529
Vietnam,Biomass Other,2025,0.992
Vietnam,Biomass Other,2030,2.288
Vietnam,Biomass Other,2040,6.549
Vietnam,Biomass Other,2050,6.549
Vietnam,Biomass Other,2060,6.549
Vietnam,Coal Subcritical,2025,28.419
Vietnam,Coal Subcritical,2030,28.609
Vietnam,Coal Subcritical,2040,28.609
Vietnam,Coal Subcritical,2050,28.609
Vietnam,Coal Subcritical,2060,28.609
Vietnam,Coal Supercritical,2030,6.707
Vietnam,Coal Supercritical,2040,14.074
Vietnam,Coal Supercritical,2050,24.916
Vietnam,Coal Supercritical,2060,24.916
Vietnam,Diesel,2025,1000000000000.0
Vietnam,Diesel,2025,1.503
Vietnam,Diesel,2030,1000000000000.0
Vietnam,Diesel,2030,0.631
Vietnam,Diesel,2040,1000000000000.0
Vietnam,Diesel,2040,0.178
Vietnam,Diesel,2050,1000000000000.0
Vietnam,Diesel,2050,0.178
Vietnam,Diesel,2060,1000000000000.0
Vietnam,Diesel,2060,0.178
Vietnam,Gas Combined Cycle,2025,9.372
Vietnam,Gas Combined Cycle,2030,36.926
Vietnam,Gas Combined Cycle,2040,39.926
Vietnam,Gas Combined Cycle,2050,59.072
Vietnam,Gas Combined Cycle,2060,109.072
Vietnam,Gas Combined Cycle with CCS,2060,10.0
Vietnam,Large Hydro,2025,25.043
Vietnam,Large Hydro,2030,25.679
Vietnam,Large Hydro,2040,27.963
Vietnam,Large Hydro,2050,27.963
Vietnam,Large Hydro,2060,27.963
Vietnam,Lithium Ion Batteries,2025,10.46
Vietnam,Lithium Ion Batteries,2030,16.3
Vietnam,Lithium Ion Batteries,2040,39.582
Vietnam,Lithium Ion Batteries,2050,96.12
Vietnam,Lithium Ion Batteries,2060,96.12
Vietnam,Nuclear LWR,2030,4.0
Vietnam,Nuclear LWR,2040,7.867
Vietnam,Nuclear LWR,2050,11.2
Vietnam,Nuclear LWR,2060,14.0
Vietnam,Pumped Hydro,2025,4.37
Vietnam,Pumped Hydro,2030,6.0
Vietnam,Pumped Hydro,2040,11.312
Vietnam,Pumped Hydro,2050,21.327
Vietnam,Pumped Hydro,2060,21.327
Vietnam,Small Hydro,2030,3.9
Vietnam,Small Hydro,2040,6.761
Vietnam,Small Hydro,2050,7.837
Vietnam,Small Hydro,2060,7.837
Vietnam,Solar PV,2025,17.263
Vietnam,Solar PV,2030,20.541
Vietnam,Solar PV,2040,42.881
Vietnam,Solar PV,2050,74.357
Vietnam,Solar PV,2060,129.651
Vietnam,Wind Offshore,2030,6.0
Vietnam,Wind Offshore,2040,69.168
Vietnam,Wind Offshore,2050,139.097
Vietnam,Wind Offshore,2060,139.097
Vietnam,Wind Onshore,2025,13.416
Vietnam,Wind Onshore,2030,25.88
Vietnam,Wind Onshore,2040,46.1
Vietnam,Wind Onshore,2050,77.05
Vietnam,Wind Onshore,2060,77.05
