r,region_name,y,peak_rate_PJ_yr,l,timeslice_name,peak_GW_equiv,y_int,prev_peak_GW,delta_GW,growth_ratio
R15,Brunei,2025,29.501079089882513,L19,Wet: Hr 19,0.9354730812367615,2025,,,
R15,Brunei,2030,24.54515750028412,L19,Wet: Hr 19,0.7783218385427486,2030,0.9354730812367615,-0.15715124269401293,0.8320088029831411
R15,Brunei,2035,27.841029691327755,L37,Dry: Hr 13,0.8828332601258166,2035,0.7783218385427486,0.10451142158306803,1.1342778994596177
R15,Brunei,2040,26.99702170585531,L38,Dry: Hr 14,0.8560699424738493,2040,0.8828332601258166,-0.026763317651967378,0.9696847424527785
R15,Brunei,2045,27.001130588341127,L37,Dry: Hr 13,0.8562002342827602,2045,0.8560699424738493,0.00013029180891088732,1.0001521976213
R15,Brunei,2050,26.456267633933688,L37,Dry: Hr 13,0.8389227433388409,2050,0.8562002342827602,-0.017277490943919283,0.9798207355568027
R15,Brunei,2055,23.840990659762625,L19,Wet: Hr 19,0.7559928545079472,2055,0.8389227433388409,-0.0829298888308937,0.9011471682114138
R15,Brunei,2060,23.87503629150549,L19,Wet: Hr 19,0.7570724344084694,2060,0.7559928545079472,0.0010795799005222095,1.0014280292387483
R6,Cambodia,2025,77.10929542192702,L10,Wet: Hr 10,2.4451197178439563,2025,,,
R6,Cambodia,2030,123.23810137963315,L11,Wet: Hr 11,3.9078545592222587,2030,2.4451197178439563,1.4627348413783023,1.598226267083603
R6,Cambodia,2035,151.0137703365886,L10,Wet: Hr 10,4.788615244057223,2035,3.9078545592222587,0.8807606848349647,1.2253821557295248
R6,Cambodia,2040,169.07070411250734,L10,Wet: Hr 10,5.3611968579562195,2040,4.788615244057223,0.5725816138989961,1.119571438655378
R6,Cambodia,2045,168.27934827072048,L10,Wet: Hr 10,5.336103128828021,2045,5.3611968579562195,-0.02509372912819874,0.9953193792742457
R6,Cambodia,2050,169.48109091773821,L10,Wet: Hr 10,5.374210138182972,2050,5.336103128828021,0.03810700935495159,1.007141355486381
R6,Cambodia,2055,157.35253051896584,L10,Wet: Hr 10,4.989616010875375,2055,5.374210138182972,-0.38459412730759723,0.9284370879778011
R6,Cambodia,2060,176.78225262845626,L10,Wet: Hr 10,5.605728457269668,2060,4.989616010875375,0.6161124463942933,1.1234789300522152
R1,Indonesia,2025,1649.5730248360217,L15,Wet: Hr 15,52.30761747957958,2025,,,
R1,Indonesia,2030,1920.9836274710515,L2,Wet: Hr 2,60.91399123132456,2030,52.30761747957958,8.606373751744982,1.1645338512140193
R1,Indonesia,2035,7364.427342223036,L20,Wet: Hr 20,233.52445910144075,2035,60.91399123132456,172.6104678701162,3.83367522601856
R1,Indonesia,2040,7675.028074331822,L42,Dry: Hr 18,243.37354370661535,2040,233.52445910144075,9.849084605174596,1.0421758159426728
R1,Indonesia,2045,7157.570012262703,L12,Wet: Hr 12,226.96505619808164,2045,243.37354370661535,-16.40848750853371,0.93257900074663
R1,Indonesia,2050,7766.0344884211245,L10,Wet: Hr 10,246.25933816657547,2050,226.96505619808164,19.294281968493834,1.0850099230766825
R1,Indonesia,2055,8060.320764541771,L35,Dry: Hr 11,255.59109476603786,2055,246.25933816657547,9.33175659946238,1.0378940212742316
R1,Indonesia,2060,9133.35071849772,L1,Wet: Hr 1,289.6166513983295,2060,255.59109476603786,34.025556632291654,1.1331249692538696
R13,Laos,2025,171.2831014340925,L15,Wet: Hr 15,5.431351516809122,2025,,,
R13,Laos,2030,186.42719611914632,L20,Wet: Hr 20,5.911567609054614,2030,5.431351516809122,0.48021609224549167,1.0884155795770727
R13,Laos,2035,182.83028065239108,L20,Wet: Hr 20,5.7975101678206205,2035,5.911567609054614,-0.1140574412339932,0.9807060582273822
R13,Laos,2040,204.94712074234593,L19,Wet: Hr 19,6.498830566411273,2040,5.7975101678206205,0.7013203985906529,1.1209692399477569
R13,Laos,2045,228.83150517178743,L20,Wet: Hr 20,7.256199428329129,2045,6.498830566411273,0.7573688619178558,1.1165392533592522
R13,Laos,2050,245.94075132595893,L20,Wet: Hr 20,7.798730064876931,2050,7.256199428329129,0.5425306365478022,1.0747678784061108
R13,Laos,2055,284.94487687756293,L43,Dry: Hr 19,9.035542772626933,2055,7.798730064876931,1.2368127077500013,1.1585915524016177
R13,Laos,2060,301.48652259634406,L20,Wet: Hr 20,9.56007491743861,2060,9.035542772626933,0.524532144811678,1.0580520902851285
R17,Malaysia,2025,824.5587714698833,L16,Wet: Hr 16,26.146587121698477,2025,,,
R17,Malaysia,2030,792.5394550962475,L1,Wet: Hr 1,25.13126126002814,2030,26.146587121698477,-1.0153258616703376,0.9611679391675657
R17,Malaysia,2035,796.1416698176334,L1,Wet: Hr 1,25.245486739524143,2035,25.13126126002814,0.11422547949600315,1.004545155068587
R17,Malaysia,2040,849.2250436862593,L1,Wet: Hr 1,26.928749482694673,2040,25.245486739524143,1.6832627431705305,1.0666757888464566
R17,Malaysia,2045,956.7137881674458,L20,Wet: Hr 20,30.337195210789123,2045,26.928749482694673,3.408445728094449,1.1265727445043385
R17,Malaysia,2050,1649.188143756065,L21,Wet: Hr 21,52.29541298059567,2050,30.337195210789123,21.95821776980655,1.7238051381228983
R17,Malaysia,2055,1231.0352669668532,L20,Wet: Hr 20,39.035872240197016,2055,52.29541298059567,-13.259540740398656,0.746449258459463
R17,Malaysia,2060,1355.2429103867792,L20,Wet: Hr 20,42.97447077583647,2060,39.035872240197016,3.938598535639457,1.1008969009685328
R12,Myanmar,2025,86.44067371429415,L19,Wet: Hr 19,2.7410157824167345,2025,,,
R12,Myanmar,2030,93.3970718477612,L19,Wet: Hr 19,2.961601720185223,2030,2.7410157824167345,0.22058593776848845,1.0804759823651944
R12,Myanmar,2035,106.19896276618222,L19,Wet: Hr 19,3.3675470182071985,2035,2.961601720185223,0.40594529802197554,1.137069510479818
R12,Myanmar,2040,113.78254871098291,L19,Wet: Hr 19,3.608020951007829,2040,3.3675470182071985,0.24047393280063067,1.0714092279930967
R12,Myanmar,2045,137.49519486482927,L17,Wet: Hr 17,4.359944027930913,2045,3.608020951007829,0.751923076923084,1.2084031903176862
R12,Myanmar,2050,161.20784101867505,L17,Wet: Hr 17,5.111867104853978,2050,4.359944027930913,0.7519230769230649,1.1724616353113833
R12,Myanmar,2055,184.9204871725213,L16,Wet: Hr 16,5.863790181777057,2055,5.111867104853978,0.7519230769230791,1.1470936277293065
R12,Myanmar,2060,203.53219411767134,L17,Wet: Hr 17,6.453963537470552,2060,5.863790181777057,0.5901733556934952,1.1006470793459802
R19,Philippines,2025,463.20138445651986,L14,Wet: Hr 14,14.688019547708011,2025,,,
R19,Philippines,2030,499.5209585812362,L12,Wet: Hr 12,15.839705688141684,2030,14.688019547708011,1.1516861404336733,1.0784098997616998
R19,Philippines,2035,588.1198313559275,L13,Wet: Hr 13,18.64915751382317,2035,15.839705688141684,2.809451825681485,1.1773676784780647
R19,Philippines,2040,741.4366404870847,L11,Wet: Hr 11,23.510801638986702,2040,18.64915751382317,4.861644125163533,1.2606897454515023
R19,Philippines,2045,867.7486114581473,L35,Dry: Hr 11,27.51612796353841,2045,23.510801638986702,4.005326324551707,1.1703611125666549
