r,t,region_name,tech_name,cat,renew,peak_GW,first_GW,last_GW,n_dips,biggest_dip_GW,biggest_pos_delta_GW,pulse_ratio,monotone_increasing
R13,P2956,Laos,Biomass Other,Biomass/Waste,True,0.158,0.135,0.158,0,0.0,0.022999999999999993,,True
R13,P4240,Laos,Solar Floating,Solar PV,True,0.886,0.5,0.886,0,0.0,0.20000000000000007,1.0362694300518138,True
R14,P14442,Vietnam,Wind Offshore,Wind Offshore,True,91.5,15.0,91.5,0,0.0,34.0,1.7215189873417722,True
R14,P16756,Vietnam,Solar PV Rooftop,Solar PV,True,186.103,31.817,186.103,0,0.0,55.67400000000001,1.407081658958223,True
R14,P2713,Vietnam,Wind Onshore,Wind Onshore,True,77.05,13.416,77.05,0,0.0,16.15,1.0912162162162162,True
R14,P2724,Vietnam,Large Hydro,Large Hydro,True,27.963,25.043,27.963,0,0.0,1.7739999999999974,2.7893081761006124,True
R14,P2824,Vietnam,Small Hydro,Small Hydro,True,7.837000000000003,2.382,7.837000000000003,0,0.0,2.5780000000000016,2.6014127144298715,True
R14,P2847,Vietnam,Solar PV,Solar PV,True,74.35725000000001,17.263,74.35725000000001,0,0.0,17.823350000000005,1.407108430405829,True
R14,P2956,Vietnam,Biomass Other,Biomass/Waste,True,6.549,0.992,6.549,0,0.0,4.261,1.533561274068742,True
R15,P16756,Brunei,Solar PV Rooftop,Solar PV,True,1.0,0.2,1.0,0,0.0,0.20000000000000007,1.0000000000000004,True
R15,P2847,Brunei,Solar PV,Solar PV,True,1.0068,0.0068,1.0068,0,0.0,0.44000000000000006,10.999999999999991,True
R16,P14446,Singapore,Solar CSP,Solar CSP,True,0.5,0.5,0.5,0,0.0,0.0,,True
R16,P16756,Singapore,Solar PV Rooftop,Solar PV,True,1.537037037037037,1.537037037037037,1.537037037037037,0,0.0,0.0,,True
R16,P4240,Singapore,Solar Floating,Solar PV,True,0.45719999999999994,0.026670000000000003,0.45719999999999994,0,0.0,0.4305299999999999,,True
R17,P16756,Malaysia,Solar PV Rooftop,Solar PV,True,2.0211,0.4644,2.0211,0,0.0,0.7661,1.8934750370736526,True
R17,P20494,Malaysia,Solar PV_MYPE,Solar PV,True,45.71910000000001,9.143799999999999,45.71910000000001,0,0.0,13.715750000000007,1.0,True
R17,P20516,Malaysia,Solar PV_MYSB,Solar PV,True,4.2809,0.8562000000000001,4.2809,0,0.0,1.2842500000000001,1.0000000000000004,True
R17,P20626,Malaysia,Large Hydro_MYPE,Large Hydro,True,0.9389,0.8695,0.9389,0,0.0,0.0693999999999999,,True
R17,P20908,Malaysia,Wind Onshore_MYSR,Wind Onshore,True,3.8243578811864407,2.1781925093379533,3.8243578811864407,0,0.0,0.41052444738151417,1.1480828809860113,True
R17,P21296,Malaysia,Large Hydro_MYSB,Large Hydro,True,0.12890000000000001,0.0978,0.12890000000000001,0,0.0,0.02889999999999998,1.8585209003215413,True
R17,P21305,Malaysia,Large Hydro_MYSR,Large Hydro,True,4.8018,3.572,4.8018,0,0.0,1.1393999999999993,1.8529842250772472,True
R17,P21563,Malaysia,Biomass Other_MYPE,Biomass/Waste,True,0.6447999999999999,0.6447999999999999,0.6447999999999999,0,0.0,0.0,,True
R17,P22388,Malaysia,Biomass Other_MYSB,Biomass/Waste,True,0.18330000000000002,0.18330000000000002,0.18330000000000002,0,0.0,0.0,,True
R17,P2907,Malaysia,Biogas,Biomass/Waste,True,0.15340000000000004,0.0819,0.15340000000000004,0,0.0,0.04730000000000001,1.3230769230769226,True
R19,P14268,Philippines,Nuclear LWR,Nuclear,True,4.32,2.16,4.32,0,0.0,0.7200000000000002,1.0,True
R19,P14428,Philippines,Nuclear SMR,Nuclear,True,0.48,0.24,0.48,0,0.0,0.08000000000000002,1.0,True
R19,P16756,Philippines,Solar PV Rooftop,Solar PV,True,0.5482400000000001,0.00824,0.5482400000000001,0,0.0,0.27,1.5,True
R19,P2713,Philippines,Wind Onshore,Wind Onshore,True,14.9351,1.8300999999999998,14.9351,0,0.0,4.718,2.1445454545454536,True
R19,P2724,Philippines,Large Hydro,Large Hydro,True,3.836027,3.836027,3.836027,0,0.0,0.0,,True
R19,P2824,Philippines,Small Hydro,Small Hydro,True,4.6321,0.1221,4.6321,0,0.0,1.815,1.8857142857142855,True
R19,P2847,Philippines,Solar PV,Solar PV,True,29.738576000000002,4.956976000000001,29.738576000000002,0,0.0,7.5,1.4949172812437708,True
R19,P2851,Philippines,Geothermal Flash,Geothermal,True,2.838739,2.071739,2.838739,0,0.0,0.34999999999999964,1.7199017199017181,True
R19,P2956,Philippines,Biomass Other,Biomass/Waste,True,0.5950259999999999,0.5950259999999999,0.5950259999999999,0,0.0,0.0,,True
R19,P4240,Philippines,Solar Floating,Solar PV,True,4.0,0.806,4.0,0,0.0,1.694,1.060738885410144,True
R6,P14424,Cambodia,Geothermal ORC,Geothermal,True,0.2219643212504112,0.2219643212504112,0.2219643212504112,0,0.0,0.0,,True
R6,P16756,Cambodia,Solar PV Rooftop,Solar PV,True,0.45,0.12930769230769232,0.45,0,0.0,0.08653846153846156,1.0,True
R6,P2724,Cambodia,Large Hydro,Large Hydro,True,3.2141683999999997,2.0334684,3.2141683999999997,0,0.0,0.8827000000000003,4.456580276001339,True
R6,P2824,Cambodia,Small Hydro,Small Hydro,True,0.2,0.2,0.2,0,0.0,0.0,,True
R6,P2956,Cambodia,Biomass Other,Biomass/Waste,True,0.449,0.049,0.449,0,0.0,0.4,,True
R1,P2510,Indonesia,Gasoline,Other,False,178.62569548958086,114.70940451670148,31.6990382869173,2,-114.70940451670148,32.21725268596208,1.0081077044859295,False
R14,P2627,Vietnam,All Mines,Other,False,250.46398477743034,42.1971572094775,191.22754822407163,2,-42.197157209477496,178.09598875141631,10.452084572189985,False
R14,P2510,Vietnam,Gasoline,Other,False,45.78349479506832,36.961360585892464,4.107620568474013,2,-36.961360585892464,4.714513640701838,1.147748084836689,False
R17,P2510,Malaysia,Gasoline,Other,False,46.16399372373122,27.674959234599164,14.327944731571838,2,-27.674959234599164,14.32794473157184,1.5498856622279416,False
R11,P2510,Thailand,Gasoline,Other,False,28.981820867060613,21.200533364728283,4.4452830913232955,2,-21.200533364728283,4.445283091323294,1.1425572156255335,False
R17,P2627,Malaysia,All Mines,Other,False,36.55653738802418,16.5868245033035,19.84684057456256,2,-16.586824503303497,19.846840574562556,1.9876941335243594,False
R17,P20955,Malaysia,Gas Turbine_MYPE,Gas,False,49.89602739291591,10.321649010258037,36.112051604844716,2,-10.321649010258042,29.621661712927644,7.78796222875602,False
R19,P2510,Philippines,Gasoline,Other,False,14.718232411280068,7.3603329027060695,6.076838626716416,2,-7.3603329027060695,6.076838626716416,1.6517862522137492,False
R12,P2510,Myanmar,Gasoline,Other,False,8.886261933608132,4.1880375385385085,4.096031727699252,2,-4.188037538538508,4.096031727699251,1.7436509554535873,False
R20,P23146,Timor Leste,POME Biodiesel,Diesel,False,75.16425033445105,14.01367996545968,69.32747146549774,2,-3.51653757485019,17.081042583442756,1.1788030802316145,False
R6,P2510,Cambodia,Gasoline,Other,False,5.91417863816807,3.44892441093569,1.277238105360811,2,-3.44892441093569,1.2772381053608113,1.0361917981941389,False
R19,P2668,Philippines,Natural Gas,Other,False,2.944235895657682,1.6201527774553355,1.1734256904445841,2,-1.6201527774553357,1.1734256904445843,1.7724350900836139,False
R6,P2627,Cambodia,All Mines,Other,False,2.8367955831858986,1.5871909487539722,1.1729848981159052,2,-1.5871909487539724,1.1729848981159054,1.8773696348351772,False
R14,P16089,Vietnam,All Mines,Other,False,3.6418165446924444,1.4601490188766613,0.8908367579908675,2,-1.4601490188766615,1.2908307678249156,1.1833432478142973,False
R13,P2510,Laos,Gasoline,Other,False,1.5212654321688293,1.4168571057187287,0.03193721694936773,2,-1.4168571057187287,0.07247110950073288,1.3882247128128942,False
R1,P22252,Indonesia,Gas Turbine_IDJW,Gas,False,15.0,2.025661021,15.0,2,-1.2213999999999996,5.0,1.0,False
R14,P2776,Vietnam,Diesel,Diesel,False,1.50325,1.50325,0.17849999999999977,2,-0.87195,0.0,,False
R19,P2521,Philippines,Natural Gas,Other,False,1.7872023082190396,1.6738844689072585,1.2555706248597664,2,-0.41920652538781056,0.11331783931178108,,False
R19,P2605,Philippines,Natural Gas,Other,False,1.7872023082190396,1.6738844689072596,1.2555706248597664,2,-0.41920652538781056,0.11242515797146257,1.9842446459314973,False
R20,P2510,Timor Leste,Gasoline,Other,False,1.1712271114589177,0.38007904629165723,0.6986206419119962,2,-0.38007904629165723,0.6986206419119962,1.7660932830930895,False
R19,P2720,Philippines,Coal Subcritical,Coal,False,11.220436,11.220436,10.977735999999998,2,-0.14270000000000138,0.0,,False
R1,P16068,Indonesia,All Mines,Other,False,408.2074897415698,377.78120649774604,296.84368557411676,1,-111.36380416745305,30.426283243823775,,False
R16,P2510,Singapore,Gasoline,Other,False,68.05427859516973,34.78535066888256,33.26000092349828,1,-34.78535066888255,33.260000923498275,1.9994633429241435,False
R11,P2627,Thailand,All Mines,Other,False,71.2865820285637,27.546445938338483,43.740136090225214,1,-27.546445938338486,43.74013609022522,,False
R17,P2641,Malaysia,Electricity,Other,False,51.42483568305048,20.39610206691174,34.036829110370704,1,-20.39610206691174,27.045949300883038,9.29721283299137,False
