region,tech_name,year,capital_inv,fixed_OM,variable_OM,disc_capex,disc_opex,disc_salvage
Brunei,Jet Kerosene Imports,2050,0.0000,0.0000,21.9778,0.0000,22.5124,0.0000
Brunei,Jet Kerosene Imports,2055,0.0000,0.0000,21.9778,0.0000,16.0510,0.0000
Brunei,Jet Kerosene Imports,2060,0.0000,0.0000,21.9778,0.0000,11.4442,0.0000
Brunei,LNG Imports,2025,0.0000,0.0000,2009.3682,0.0000,1942.5296,0.0000
Brunei,LNG Imports,2030,0.0000,0.0000,1852.9181,0.0000,7343.8314,0.0000
Brunei,LNG Imports,2035,0.0000,0.0000,1853.2654,0.0000,5237.1723,0.0000
Brunei,LNG Imports,2040,0.0000,0.0000,1853.5158,0.0000,3734.6194,0.0000
Brunei,LNG Imports,2045,0.0000,0.0000,1853.6933,0.0000,2663.0318,0.0000
Brunei,LNG Imports,2050,0.0000,0.0000,1853.8055,0.0000,1898.8483,0.0000
Brunei,LNG Imports,2055,0.0000,0.0000,1853.8819,0.0000,1353.9196,0.0000
Brunei,LNG Imports,2060,0.0000,0.0000,1853.9206,0.0000,965.3545,0.0000
Brunei,Lubricants Imports,2025,0.0000,0.0000,0.3190,0.0000,0.3084,0.0000
Brunei,Lubricants Imports,2030,0.0000,0.0000,0.3624,0.0000,1.3629,0.0000
Brunei,Lubricants Imports,2035,0.0000,0.0000,0.3728,0.0000,1.0410,0.0000
Brunei,Lubricants Imports,2040,0.0000,0.0000,0.3788,0.0000,0.7581,0.0000
Brunei,Lubricants Imports,2045,0.0000,0.0000,0.3847,0.0000,0.5491,0.0000
Brunei,Lubricants Imports,2050,0.0000,0.0000,0.3892,0.0000,0.3967,0.0000
Brunei,Lubricants Imports,2055,0.0000,0.0000,0.3968,0.0000,0.2874,0.0000
Brunei,Lubricants Imports,2060,0.0000,0.0000,0.4044,0.0000,0.2089,0.0000
Brunei,Naphtha Imports,2025,0.0000,0.0000,58.2359,0.0000,56.2988,0.0000
Brunei,Naphtha Imports,2030,0.0000,0.0000,58.2359,0.0000,230.8360,0.0000
Brunei,Naphtha Imports,2035,0.0000,0.0000,58.2359,0.0000,164.5829,0.0000
Brunei,Naphtha Imports,2040,0.0000,0.0000,58.2359,0.0000,117.3453,0.0000
Brunei,Naphtha Imports,2045,0.0000,0.0000,58.2359,0.0000,83.6656,0.0000
Brunei,Naphtha Imports,2050,0.0000,0.0000,58.2359,0.0000,59.6524,0.0000
