region,tech_name,output_fuel,year,capacity_GW,residual_GW,new_capacity_GW,production_PJ
Brunei,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2030,0.2000,0.2000,0.0000,1.0068
Brunei,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2035,0.4000,0.4000,0.0000,0.2072
Brunei,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2040,0.6000,0.6000,0.0000,0.3092
Brunei,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2045,0.8000,0.8000,0.0000,0.5129
Brunei,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2050,1.0000,1.0000,0.0000,0.7149
Brunei,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2055,1.0000,1.0000,0.0000,0.9868
Brunei,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2060,1.0000,1.0000,0.0000,1.2059
Cambodia,Biogas,Electricity output from Centralized Electricity Generation,2025,0.0208,0.0000,0.0208,0.4727
Cambodia,Biogas,Electricity output from Centralized Electricity Generation,2030,0.0208,0.0000,0.0000,0.4499
Cambodia,Biogas,Electricity output from Centralized Electricity Generation,2035,0.0208,0.0000,0.0000,0.3546
Cambodia,Biogas,Electricity output from Centralized Electricity Generation,2040,0.0208,0.0000,0.0000,0.3628
Cambodia,Biogas,Electricity output from Centralized Electricity Generation,2045,0.0208,0.0000,0.0000,0.3711
Cambodia,Biogas,Electricity output from Centralized Electricity Generation,2050,0.0208,0.0000,0.0000,0.3711
Cambodia,Biomass Other,Electricity output from Centralized Electricity Generation,2025,0.0490,0.0490,0.0000,0.0200
Cambodia,Biomass Other,Electricity output from Centralized Electricity Generation,2030,0.4490,0.4490,0.0000,0.3790
Cambodia,Biomass Other,Electricity output from Centralized Electricity Generation,2035,0.4490,0.4490,0.0000,0.6457
Cambodia,Biomass Other,Electricity output from Centralized Electricity Generation,2040,0.4490,0.4490,0.0000,0.9830
Cambodia,Biomass Other,Electricity output from Centralized Electricity Generation,2045,0.4490,0.4490,0.0000,1.3910
Cambodia,Biomass Other,Electricity output from Centralized Electricity Generation,2050,0.4490,0.4490,0.0000,2.0121
Cambodia,Biomass Other,Electricity output from Centralized Electricity Generation,2055,0.4490,0.4490,0.0000,8.1590
Cambodia,Biomass Other,Electricity output from Centralized Electricity Generation,2060,0.4490,0.4490,0.0000,8.1248
Cambodia,Coal Subcritical,Electricity output from Centralized Electricity Generation,2025,1.3000,1.3000,0.0000,19.0892
Cambodia,Coal Subcritical,Electricity output from Centralized Electricity Generation,2030,1.3000,1.3000,0.0000,10.7471
Cambodia,Coal Subcritical,Electricity output from Centralized Electricity Generation,2035,1.3000,1.3000,0.0000,10.7471
Cambodia,Coal Subcritical,Electricity output from Centralized Electricity Generation,2040,1.3000,1.3000,0.0000,9.5053
Cambodia,Coal Subcritical,Electricity output from Centralized Electricity Generation,2045,1.3000,1.3000,0.0000,8.5588
Cambodia,Coal Subcritical,Electricity output from Centralized Electricity Generation,2050,1.3000,1.3000,0.0000,11.8239
Cambodia,Coal Subcritical,Electricity output from Centralized Electricity Generation,2055,1.3000,1.3000,0.0000,19.3554
Cambodia,Coal Subcritical,Electricity output from Centralized Electricity Generation,2060,1.3000,1.3000,0.0000,18.9142
Cambodia,Electricity,Electricity output from Electricity Transmission and Distribution,2025,2.8023,0.0000,2.8023,75.6159
Cambodia,Electricity,Electricity output from Energy Sector Own Use,2025,2.8023,0.0000,2.8023,75.6159
Cambodia,Electricity,Electricity output from Electricity Transmission and Distribution,2030,2.8023,0.0000,0.0000,69.4540
Cambodia,Electricity,Electricity output from Energy Sector Own Use,2030,2.8023,0.0000,0.0000,69.4540
Cambodia,Electricity,Electricity output from Electricity Transmission and Distribution,2035,2.8023,0.0000,0.0000,66.3661
Cambodia,Electricity,Electricity output from Energy Sector Own Use,2035,2.8023,0.0000,0.0000,66.3661
Cambodia,Electricity,Electricity output from Electricity Transmission and Distribution,2040,2.8023,0.0000,0.0000,71.3805
Cambodia,Electricity,Electricity output from Energy Sector Own Use,2040,2.8023,0.0000,0.0000,71.3805
Cambodia,Electricity,Electricity output from Electricity Transmission and Distribution,2045,3.0371,0.0000,0.2348,83.0889
Cambodia,Electricity,Electricity output from Energy Sector Own Use,2045,3.0371,0.0000,0.2348,83.0889
Cambodia,Electricity,Electricity output from Electricity Transmission and Distribution,2050,3.6584,0.0000,0.6214,100.0122
Cambodia,Electricity,Electricity output from Energy Sector Own Use,2050,3.6584,0.0000,0.6214,100.0122
Cambodia,Electricity,Electricity output from Electricity Transmission and Distribution,2055,4.4446,0.0000,3.5885,121.6559
Cambodia,Electricity,Electricity output from Energy Sector Own Use,2055,4.4446,0.0000,3.5885,121.6559
Cambodia,Electricity,Electricity output from Electricity Transmission and Distribution,2060,5.2050,0.0000,0.7604,141.9274
Cambodia,Electricity,Electricity output from Energy Sector Own Use,2060,5.2050,0.0000,0.7604,141.9274
Cambodia,Fuel Oil,Electricity output from Centralized Electricity Generation,2025,0.4000,0.4000,0.0000,0.0000
Cambodia,Fuel Oil,Electricity output from Centralized Electricity Generation,2030,0.4000,0.4000,0.0000,0.0000
Cambodia,Fuel Oil,Electricity output from Centralized Electricity Generation,2035,0.4000,0.4000,0.0000,0.0000
Cambodia,Gas Combined Cycle,Electricity output from Centralized Electricity Generation,2025,0.1500,0.0000,0.1500,2.6501
Cambodia,Gas Combined Cycle,Electricity output from Centralized Electricity Generation,2030,0.9500,0.8000,0.0000,0.2683
Cambodia,Gas Combined Cycle,Electricity output from Centralized Electricity Generation,2035,0.9500,0.8000,0.0000,0.0432
Cambodia,Gas Combined Cycle,Electricity output from Centralized Electricity Generation,2040,0.9500,0.8000,0.0000,0.8752
Cambodia,Gas Combined Cycle,Electricity output from Centralized Electricity Generation,2045,0.9500,0.8000,0.0000,2.4907
Cambodia,Gas Combined Cycle,Electricity output from Centralized Electricity Generation,2050,0.9500,0.8000,0.0000,12.8430
Cambodia,Gas Combined Cycle,Electricity output from Centralized Electricity Generation,2055,0.8000,0.8000,0.0000,11.7648
Cambodia,Gas Combined Cycle,Electricity output from Centralized Electricity Generation,2060,1.7390,0.8000,0.9390,26.4700
Cambodia,Gas Combined Cycle with CCS,Electricity output from Centralized Electricity Generation,2025,0.0308,0.0000,0.0308,0.0000
Cambodia,Gas Combined Cycle with CCS,Electricity output from Centralized Electricity Generation,2030,0.0308,0.0000,0.0000,0.0000
Cambodia,Gas Combined Cycle with CCS,Electricity output from Centralized Electricity Generation,2035,0.0308,0.0000,0.0000,0.0000
Cambodia,Gas Combined Cycle with CCS,Electricity output from Centralized Electricity Generation,2040,0.0308,0.0000,0.0000,0.0000
Cambodia,Gas Combined Cycle with CCS,Electricity output from Centralized Electricity Generation,2045,0.0308,0.0000,0.0000,0.0000
Cambodia,Gas Combined Cycle with CCS,Electricity output from Centralized Electricity Generation,2050,0.0308,0.0000,0.0000,0.0000
Cambodia,Geothermal ORC,Electricity output from Centralized Electricity Generation,2025,0.2220,0.0000,0.2220,0.0000
Cambodia,Geothermal ORC,Electricity output from Centralized Electricity Generation,2030,0.2220,0.0000,0.0000,0.0000
Cambodia,Geothermal ORC,Electricity output from Centralized Electricity Generation,2035,0.2220,0.0000,0.0000,0.0000
Cambodia,Geothermal ORC,Electricity output from Centralized Electricity Generation,2040,0.2220,0.0000,0.0000,0.0000
Cambodia,Geothermal ORC,Electricity output from Centralized Electricity Generation,2045,0.2220,0.0000,0.0000,0.0000
Cambodia,Geothermal ORC,Electricity output from Centralized Electricity Generation,2050,0.2220,0.0000,0.0000,0.0000
Cambodia,Large Hydro,Electricity output from Centralized Electricity Generation,2025,2.0335,1.7960,0.2375,24.4489
Cambodia,Large Hydro,Electricity output from Centralized Electricity Generation,2030,2.9162,2.6787,0.0000,28.8481
