branch_path,variable,units,scale,per
Demand\Commercial\Other Commercial\Historical\Briquette\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\Historical\Charcoal,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Charcoal,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Charcoal,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Charcoal,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Charcoal,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Charcoal\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Charcoal\Black Carbon,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Charcoal\Carbon Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Charcoal\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Charcoal\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Charcoal\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Charcoal\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Charcoal\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Charcoal\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
