branch_path,variable,units,scale,per
Demand\Commercial\Other Commercial\End Use Projection\Other\Kerosene\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Kerosene\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Kerosene\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Kerosene\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Kerosene\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG,Activity Level,Share,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG,Commercial Fuel Share_,%,,
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG,Final Energy Intensity,Kilowatt-Hour,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
