branch_path,variable,units,scale,per
Transformation\Biodiesel Production\Processes\CME Biodiesel,Stranded Cost,2020 USD,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Variable OM Cost,2020 USD,,Gigajoule
Transformation\Biodiesel Production\Processes\CME Biodiesel\Auxiliary Fuels\Electricity,Auxiliary Fuel Use,Megajoule,,Megajoule
Transformation\Biodiesel Production\Processes\CME Biodiesel\Auxiliary Fuels\Electricity,Fuel Cost,2020 USD,,Gigajoule
Transformation\Biodiesel Production\Processes\CME Biodiesel\Auxiliary Fuels\Electricity,Fuel Source,2020 USD,,Gigajoule
Transformation\Biodiesel Production\Processes\CME Biodiesel\Auxiliary Fuels\Methanol,Auxiliary Fuel Use,Liter,,Megajoule
Transformation\Biodiesel Production\Processes\CME Biodiesel\Auxiliary Fuels\Methanol,Fuel Cost,2020 USD,,Metric Tonne
Transformation\Biodiesel Production\Processes\CME Biodiesel\Auxiliary Fuels\Methanol,Fuel Source,2020 USD,,Metric Tonne
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,Feedstock Fuel Share,U.S. Dollar,,Gigajoule
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,Fuel Cost,U.S. Dollar,,Gigajoule
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,Fuel Source,U.S. Dollar,,Gigajoule
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Carbon Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Capacity Credit,Percent,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Capital Cost,2020 USD,,Gigajoules/Year
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Dispatch Rule,None,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Dispatchable,Yes/No,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Endogenous Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Exogenous Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,First Simulation Year,Years,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Fixed OM Cost,2020 USD,,Gigajoules/Year
