Branch Path,Variable,Scenario,Region,Scale,Units,Per...,Expression
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Capacity Additions,AMS Target Scenario,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Capacity Additions,AMS Target Scenario,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Capacity Additions,AMS Target Scenario,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Capacity Additions,AMS Target Scenario,Indonesia,,MW,,"Add(2026, 2.29, 2029, 9.92, 2031, 3.05, 2032, 3.05, 2033, 3.82)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Capacity Additions,AMS Target Scenario,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Capacity Additions,AMS Target Scenario,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Capacity Additions,AMS Target Scenario,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Capacity Additions,AMS Target Scenario,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Capacity Additions,AMS Target Scenario,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Capacity Additions,AMS Target Scenario,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Capacity Additions,AMS Target Scenario,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Capacity Additions,AMS Target Scenario,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Capacity Additions,AMS Target Scenario,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Capacity Additions,AMS Target Scenario,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Capacity Additions,AMS Target Scenario,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Capacity Additions,AMS Target Scenario,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Capacity Additions,AMS Target Scenario,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Capacity Additions,AMS Target Scenario,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Capacity Additions,AMS Target Scenario,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Capacity Additions,AMS Target Scenario,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Capacity Additions,AMS Target Scenario,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Capacity Additions,AMS Target Scenario,Thailand,,MW,,"Add(2030, 296.5, 2031, 827, 2032, 827, 2033, 827, 2034, 827, 2035, 827, 2036, 827, 2037, 828)"
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Capacity Additions,AMS Target Scenario,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Capacity Additions,AMS Target Scenario,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Additions,AMS Target Scenario,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Additions,AMS Target Scenario,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Additions,AMS Target Scenario,Cambodia,,MW,,"Add(2026, 200, 2027, 200)"
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Additions,AMS Target Scenario,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Additions,AMS Target Scenario,Laos,,MW,,"Add(2025, 23, 2026, 23)"
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Additions,AMS Target Scenario,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Additions,AMS Target Scenario,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Additions,AMS Target Scenario,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Additions,AMS Target Scenario,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Additions,AMS Target Scenario,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Additions,AMS Target Scenario,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Additions,AMS Target Scenario,Vietnam,,MW,,"Add(2025, 553, 2026, 357, 2027, 416, 2028, 166, 2030, 357, 2031, 1108, 2032, 1932, 2033, 290, 2034, 931)"
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Capacity Additions,AMS Target Scenario,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Capacity Additions,AMS Target Scenario,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Capacity Additions,AMS Target Scenario,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Capacity Additions,AMS Target Scenario,Indonesia,,MW,,"Add(2025, 0.15, 2027, 0.13, 2028, 0.53, 2029, 1.45, 2030, 1.78, 2031, 0.2, 2032, 0.21, 2033, 0.08)"
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Capacity Additions,AMS Target Scenario,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Capacity Additions,AMS Target Scenario,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Capacity Additions,AMS Target Scenario,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Capacity Additions,AMS Target Scenario,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Capacity Additions,AMS Target Scenario,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Capacity Additions,AMS Target Scenario,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Capacity Additions,AMS Target Scenario,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Capacity Additions,AMS Target Scenario,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Capacity Additions,AMS Target Scenario,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Capacity Additions,AMS Target Scenario,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Capacity Additions,AMS Target Scenario,Cambodia,,MW,,0
