Branch Path,Variable,Scenario,Region,Scale,Units,Per...,Expression
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,Baseline Simulation,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,Baseline Simulation,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,Baseline Simulation,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,Baseline Simulation,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,Baseline Simulation,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Diesel,Capacity Retirement,Baseline Simulation,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Diesel,Capacity Retirement,Baseline Simulation,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Diesel,Capacity Retirement,Baseline Simulation,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Diesel,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Diesel,Capacity Retirement,Baseline Simulation,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Diesel,Capacity Retirement,Baseline Simulation,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Diesel,Capacity Retirement,Baseline Simulation,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Diesel,Capacity Retirement,Baseline Simulation,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Diesel,Capacity Retirement,Baseline Simulation,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Diesel,Capacity Retirement,Baseline Simulation,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Diesel,Capacity Retirement,Baseline Simulation,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Diesel,Capacity Retirement,Baseline Simulation,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Capacity Retirement,Baseline Simulation,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Capacity Retirement,Baseline Simulation,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Capacity Retirement,Baseline Simulation,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Capacity Retirement,Baseline Simulation,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Capacity Retirement,Baseline Simulation,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Capacity Retirement,Baseline Simulation,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Capacity Retirement,Baseline Simulation,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Capacity Retirement,Baseline Simulation,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Capacity Retirement,Baseline Simulation,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Capacity Retirement,Baseline Simulation,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Capacity Retirement,Baseline Simulation,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Capacity Retirement,Baseline Simulation,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Capacity Retirement,Baseline Simulation,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Capacity Retirement,Baseline Simulation,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Capacity Retirement,Baseline Simulation,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Capacity Retirement,Baseline Simulation,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Capacity Retirement,Baseline Simulation,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Capacity Retirement,Baseline Simulation,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Capacity Retirement,Baseline Simulation,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Capacity Retirement,Baseline Simulation,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Capacity Retirement,Baseline Simulation,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Capacity Retirement,Baseline Simulation,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Capacity Retirement,Baseline Simulation,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Capacity Retirement,Baseline Simulation,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Capacity Retirement,Baseline Simulation,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Capacity Retirement,Baseline Simulation,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Capacity Retirement,Baseline Simulation,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Capacity Retirement,Baseline Simulation,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Capacity Retirement,Baseline Simulation,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Capacity Retirement,Baseline Simulation,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Capacity Retirement,Baseline Simulation,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Capacity Retirement,Baseline Simulation,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Capacity Retirement,Baseline Simulation,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Capacity Retirement,Baseline Simulation,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Capacity Retirement,Baseline Simulation,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Capacity Retirement,Baseline Simulation,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Capacity Retirement,Baseline Simulation,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Capacity Retirement,Baseline Simulation,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Capacity Retirement,Baseline Simulation,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Capacity Retirement,Baseline Simulation,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Capacity Retirement,Baseline Simulation,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Capacity Retirement,Baseline Simulation,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Capacity Retirement,Baseline Simulation,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Capacity Retirement,Baseline Simulation,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Capacity Retirement,Baseline Simulation,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Capacity Retirement,Baseline Simulation,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Capacity Retirement,Baseline Simulation,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Capacity Retirement,Baseline Simulation,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Capacity Retirement,Baseline Simulation,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Capacity Retirement,Baseline Simulation,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Capacity Retirement,Baseline Simulation,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Capacity Retirement,Baseline Simulation,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Capacity Retirement,Baseline Simulation,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Capacity Retirement,Baseline Simulation,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Capacity Retirement,Baseline Simulation,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Retirement,Baseline Simulation,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Retirement,Baseline Simulation,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Retirement,Baseline Simulation,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Retirement,Baseline Simulation,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Retirement,Baseline Simulation,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Retirement,Baseline Simulation,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Retirement,Baseline Simulation,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Retirement,Baseline Simulation,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Retirement,Baseline Simulation,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Retirement,Baseline Simulation,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Capacity Retirement,Baseline Simulation,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Capacity Retirement,Baseline Simulation,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Capacity Retirement,Baseline Simulation,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Capacity Retirement,Baseline Simulation,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Capacity Retirement,Baseline Simulation,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Capacity Retirement,Baseline Simulation,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Capacity Retirement,Baseline Simulation,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Capacity Retirement,Baseline Simulation,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Capacity Retirement,Baseline Simulation,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Capacity Retirement,Baseline Simulation,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Capacity Retirement,Baseline Simulation,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Capacity Retirement,Baseline Simulation,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Capacity Retirement,Baseline Simulation,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Capacity Retirement,Baseline Simulation,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Capacity Retirement,Baseline Simulation,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Capacity Retirement,Baseline Simulation,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Capacity Retirement,Baseline Simulation,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Capacity Retirement,Baseline Simulation,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Capacity Retirement,Baseline Simulation,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Capacity Retirement,Baseline Simulation,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Capacity Retirement,Baseline Simulation,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Capacity Retirement,Baseline Simulation,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Capacity Retirement,Baseline Simulation,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Capacity Retirement,Baseline Simulation,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Capacity Retirement,Baseline Simulation,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Capacity Retirement,Baseline Simulation,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Capacity Retirement,Baseline Simulation,Indonesia,,MW,,0
