Branch Path,Variable,Region,Unit,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Transformation\Centralized Electricity Generation\Processes\Diesel_IDKA,Existing Capacity,Indonesia,MW,819.6937259,808.6991681,820.6723259,836.2762684,832.0297066,1167.648613,1398.128067,1526.304222,1516.446679,1585.942607,1603.266126,1603.266126,1604.288163,1183.237225,1221.32086,1184.58,1196.6,930.09,991.2492844,1243.633378
Transformation\Centralized Electricity Generation\Processes\Diesel_IDEast,Existing Capacity,Indonesia,MW,1423.92906,1404.829889,1425.629032,1452.735385,1445.35848,2028.378086,2428.754937,2651.415847,2634.291841,2755.016531,2785.110042,2785.110042,2786.88547,2055.457807,2121.614707,2057.3,2147.27,2089.87,2227.292135,2794.387735
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Existing Capacity,Indonesia,MW,1097.853891,1197.068026,1189.159863,1190.093264,1191.428994,1201.805843,1269.561131,1334.57415,1662.616474,1683.144869,1693.219167,1732.389841,1754.196029,1737.925877,1789.102024,1823.02,1823.02,1823.02,1707.769807,1840.825028
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Existing Capacity,Indonesia,MW,1651.097244,1800.308524,1788.415187,1789.818959,1791.827805,1807.433877,1909.333201,2007.10834,2500.461583,2531.334886,2546.485942,2605.395959,2638.190977,2613.721779,2690.687209,2647.53,2647.53,2647.53,2480.154797,2673.387833
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Existing Capacity,Indonesia,MW,166.5834646,181.637776,180.4378265,180.5794567,180.7821344,182.3566713,192.6375572,202.5023435,252.2780261,255.3929134,256.9215425,262.8651263,266.1739004,263.7051398,271.4703807,262.24,262.24,262.24,245.66135,264.8012394
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Existing Capacity,Indonesia,MW,495.405401,540.175674,536.6071237,537.0283202,537.6310667,542.3136088,572.8881106,602.2251663,750.2539164,759.5173325,764.0633488,781.7390738,791.5790932,784.2372042,807.3303863,905.88,1255.88,1255.88,1176.484046,1268.145899
Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDSA,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,114.5669249,128.3773194,179.57,252.66,292.27,400.5162931,419.607777
Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDJW,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,121.6567346,136.3217656,152.88,196.42,205.09,281.0479575,294.4447223
Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDKA,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,3.099916794,3.473594224,3.1,7.35,7.63,10.4558775,10.95427974
Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDEast,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,133.2364238,149.2973208,146.68,156.54,195.24,267.5498719,280.3032209
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDSA,Existing Capacity,Indonesia,MW,245.1881127,245.1881127,282.6874711,303.4563466,342.9749012,342.9749012,353.6477955,385.3780219,387.5414464,404.8488426,414.9448237,474.0784273,521.6160756,562,614.4991018,744.4,899.75,967.45,1064.665131,1081.572645
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDJW,Existing Capacity,Indonesia,MW,547.0050814,547.0050814,630.664682,676.9992301,765.1635785,765.1635785,788.9743879,859.7632808,864.5897962,903.2019196,925.7256583,1057.650413,1163.705045,1253.8,1370.923441,1253.8,1253.8,1253.8,1379.789283,1401.701155
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDKA,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDEast,Existing Capacity,Indonesia,MW,57.80680593,57.80680593,66.64784684,71.54442334,80.8615203,80.8615203,83.37781656,90.85869733,91.36875738,95.4492378,97.82951804,111.7711595,122.978879,132.5,144.8774573,132.5,132.5,139.08,153.0555858,155.4861993
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDSA,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,0.781924466,1530.938599,1535.3,1535.3,1536.3,2319.53,2538.355081,2304.709051
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,0.085123986,166.6651973,167.14,167.14,170.64,170.64,186.7382233,169.5496728
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,0.023936983,46.86648483,47,47,396.62,413.68,452.7066819,411.0367361
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,0.009014566,17.64971875,17.7,21.2,21.2,21.2,23.20001367,21.06453975
