domain,scenario,sector,layer,fuel,carrier,region,year,value,unit,value_pj,confident_carrier,branch_leaf,branch_path
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Indonesia,2010,809.4591806722332,PJ,809.4591806722332,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Indonesia,2020,668.6025759265325,PJ,668.6025759265325,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Indonesia,2030,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Indonesia,2040,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Indonesia,2050,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Indonesia,2060,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Laos,2010,6.192673041005964,PJ,6.192673041005964,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Laos,2020,18.194922221247225,PJ,18.194922221247225,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Laos,2030,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Laos,2040,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Laos,2050,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Laos,2060,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Malaysia,2010,76.45096799989818,PJ,76.45096799989818,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Malaysia,2020,56.00178914034868,PJ,56.00178914034868,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Malaysia,2030,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Malaysia,2040,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Malaysia,2050,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Malaysia,2060,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Myanmar,2010,7.611106389809403,PJ,7.611106389809403,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Myanmar,2020,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Myanmar,2030,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Myanmar,2040,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Myanmar,2050,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Myanmar,2060,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Philippines,2010,71.45807215805915,PJ,71.45807215805915,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Philippines,2020,59.185803298841314,PJ,59.185803298841314,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Philippines,2030,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Philippines,2040,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Philippines,2050,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Philippines,2060,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Singapore,2010,0.24702119999967168,PJ,0.24702119999967168,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Singapore,2020,7.649283599989164,PJ,7.649283599989164,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Singapore,2030,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Singapore,2040,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Singapore,2050,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Singapore,2060,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Thailand,2010,24.539438117880582,PJ,24.539438117880582,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Thailand,2020,39.27218399998424,PJ,39.27218399998424,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Thailand,2030,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Thailand,2040,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Thailand,2050,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Thailand,2060,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Vietnam,2010,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Vietnam,2020,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Vietnam,2030,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Vietnam,2040,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Vietnam,2050,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Vietnam,2060,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Brunei,2010,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Brunei,2020,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Brunei,2030,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Brunei,2040,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Brunei,2050,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Brunei,2060,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Cambodia,2010,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Cambodia,2020,16.146943566760772,PJ,16.146943566760772,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Cambodia,2030,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Cambodia,2040,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Cambodia,2050,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Cambodia,2060,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Indonesia,2010,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Indonesia,2020,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Indonesia,2030,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Indonesia,2040,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Indonesia,2050,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Indonesia,2060,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Laos,2010,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Laos,2020,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Laos,2030,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Laos,2040,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Laos,2050,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Laos,2060,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Malaysia,2010,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Malaysia,2020,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Malaysia,2030,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Malaysia,2040,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Malaysia,2050,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Malaysia,2060,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Myanmar,2010,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Myanmar,2020,16.720078365968693,PJ,16.720078365968693,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Myanmar,2030,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Myanmar,2040,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Myanmar,2050,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Myanmar,2060,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Philippines,2010,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Philippines,2020,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Sub bituminous,thermal,Philippines,2030,0.0,PJ,0.0,True,Coal Sub bituminous,Demand\Industry\Historical\Coal Sub bituminous
