ams,branch,branch_type,variable,year,value
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Power Generation,2035,65176.71118723762
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Power Generation,2040,80446.45169401827
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Power Generation,2045,88848.8001998427
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Power Generation,2050,94556.18984416878
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Curtailed Energy Production,2025,37123.08253506711
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Curtailed Energy Production,2030,39983.57966375026
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Curtailed Energy Production,2035,57059.86800373458
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Curtailed Energy Production,2040,73446.73288737117
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Curtailed Energy Production,2045,82331.5666116387
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Curtailed Energy Production,2050,88166.37044892309
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Pollutant Loadings,2025,-372555.6123482746
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Pollutant Loadings,2030,-175812.048830349
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Pollutant Loadings,2035,185194.291682221
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Pollutant Loadings,2040,105739.73257549107
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Pollutant Loadings,2045,89224.869633656
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Pollutant Loadings,2050,19980.21808296442
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Energy Generation,2045,106.37997797203903
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Energy Generation,2050,425.5199118881561
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Power Generation,2025,27254.89965328699
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Power Generation,2030,32928.366014365
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Power Generation,2035,40540.87734499175
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Power Generation,2040,54122.39161578091
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Power Generation,2045,61445.441891857605
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Power Generation,2050,66720.08541146357
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Curtailed Energy Production,2045,105.79945700017191
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Curtailed Energy Production,2050,423.19782800068765
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Energy Generation,2045,100.71275516777243
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Energy Generation,2050,402.8510206710897
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Energy Generation,2055,2751.257615094339
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Energy Generation,2060,6954.567860377358
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Power Generation,2045,95.42726296117321
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Power Generation,2050,73.40558689321017
