branch_path,variable,units,scale,per
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Hard Coal Briquettes\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Hard Coal Briquettes\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Hard Coal Briquettes\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Hard Coal Briquettes\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Hard Coal Briquettes\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Hard Coal Briquettes\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Hydrogen,Demand Cost,2020 USD,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Hydrogen,Final Energy Intensity,Gigajoule,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Hydrogen,Fuel Share,Share,%,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Hydrogen,RefHH,Ref/hh,,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LNG,Demand Cost,2020 USD,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LNG,Final Energy Intensity,Gigajoule,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LNG,Fuel Share,Share,%,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LNG,RefHH,Ref/hh,,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LNG\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LNG\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LNG\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG,Demand Cost,2020 USD,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG,Final Energy Intensity,Gigajoule,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG,Fuel Share,Share,%,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG,RefHH,Ref/hh,,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
